TIME s, IN1D, IN2D,TIME sT, IN1T,IN2T
708.008,-0.359746,-0.294538,708.008,-0.359746,-0.289371
703.125,-0.365456,-0.300997,703.125,-0.365456,-0.293246
698.242,-0.376877,-0.275161,698.242,-0.374022,-0.325542
693.359,-0.382587,-0.303581,693.359,-0.382587,-0.320375
688.477,-0.391152,-0.322958,688.477,-0.391152,-0.306165
683.594,-0.396863,-0.304873,683.594,-0.396863,-0.334585
678.711,-0.408283,-0.298414,678.711,-0.405428,-0.348795
673.828,-0.413993,-0.332001,673.828,-0.413993,-0.316499
668.945,-0.422559,-0.330709,668.945,-0.422559,-0.330709
664.063,-0.431124,-0.31004,664.063,-0.428269,-0.360422
659.18,-0.436834,-0.343628,659.18,-0.436834,-0.339752
654.297,-0.448255,-0.356546,654.297,-0.442545,-0.333293
649.414,-0.45111,-0.330709,649.414,-0.453965,-0.366881
644.531,-0.462531,-0.341044,644.531,-0.459675,-0.370756
639.648,-0.468241,-0.368173,639.648,-0.468241,-0.343628
634.766,-0.476806,-0.353962,634.766,-0.476806,-0.369464
629.883,-0.482516,-0.339752,629.883,-0.482516,-0.38755
625,-0.493937,-0.374632,625,-0.488227,-0.361713
620.117,-0.499647,-0.381091,620.117,-0.496792,-0.360422
615.234,-0.505357,-0.353962,615.234,-0.505357,-0.392717
610.352,-0.513923,-0.377215,610.352,-0.513923,-0.386258
605.469,-0.522488,-0.391426,605.469,-0.522488,-0.366881
600.586,-0.531054,-0.37334,600.586,-0.531054,-0.397885
595.703,-0.539619,-0.368173,595.703,-0.536764,-0.413387
590.82,-0.548184,-0.400468,590.82,-0.548184,-0.381091
585.938,-0.553895,-0.40176,585.938,-0.553895,-0.388842
581.055,-0.565315,-0.374632,581.055,-0.565315,-0.421138
576.172,-0.56817,-0.403052,576.172,-0.571025,-0.400468
571.289,-0.576736,-0.41597,571.289,-0.576736,-0.390134
566.406,-0.585301,-0.390134,566.406,-0.585301,-0.42243
561.523,-0.591011,-0.395301,561.523,-0.591011,-0.427597
556.641,-0.599577,-0.423721,556.641,-0.599577,-0.399177
551.758,-0.608142,-0.410803,551.758,-0.608142,-0.412095
546.875,-0.616707,-0.396593,546.875,-0.613852,-0.437932
541.992,-0.622418,-0.426305,541.992,-0.622418,-0.413387
537.109,-0.630983,-0.43664,537.109,-0.630983,-0.406928
532.227,-0.636693,-0.408219,532.227,-0.639548,-0.443099
527.344,-0.648114,-0.425013,527.344,-0.645259,-0.440515
522.461,-0.653824,-0.445683,522.461,-0.650969,-0.412095
517.578,-0.662389,-0.425013,517.578,-0.662389,-0.441807
512.695,-0.670955,-0.412095,512.695,-0.670955,-0.454725
507.813,-0.676665,-0.445683,507.813,-0.676665,-0.425013
502.93,-0.688086,-0.444391,502.93,-0.68523,-0.427597
498.047,-0.693796,-0.419846,498.047,-0.693796,-0.458601
493.164,-0.702361,-0.445683,493.164,-0.702361,-0.445683
488.281,-0.710927,-0.459893,488.281,-0.708071,-0.431472
483.398,-0.719492,-0.43664,483.398,-0.716637,-0.458601
478.516,-0.722347,-0.431472,478.516,-0.722347,-0.468936
473.633,-0.733768,-0.461185,473.633,-0.730912,-0.435348
468.75,-0.739478,-0.45085,468.75,-0.739478,-0.449558
463.867,-0.748043,-0.435348,463.867,-0.748043,-0.477978
458.984,-0.756609,-0.462476,458.984,-0.753753,-0.454725
454.102,-0.765174,-0.472811,454.102,-0.765174,-0.444391
449.219,-0.770884,-0.445683,449.219,-0.770884,-0.476687
444.336,-0.77945,-0.452142,444.336,-0.77945,-0.477978
439.453,-0.788015,-0.480562,439.453,-0.78516,-0.445683
434.57,-0.79658,-0.462476,434.57,-0.79658,-0.472811
429.688,-0.802291,-0.449558,429.688,-0.802291,-0.487021
424.805,-0.810856,-0.481854,424.805,-0.810856,-0.457309
419.922,-0.819421,-0.484438,419.922,-0.816566,-0.458601
415.039,-0.825132,-0.457309,415.039,-0.825132,-0.487021
410.156,-0.833697,-0.480562,410.156,-0.830842,-0.475395
405.273,-0.842262,-0.49348,405.273,-0.842262,-0.457309
400.391,-0.845118,-0.470227,400.391,-0.847973,-0.484438
395.508,-0.856538,-0.46506,395.508,-0.856538,-0.497356
390.625,-0.862248,-0.489605,390.625,-0.865103,-0.46506
