TIME s, IN1D,IN2D,TIME sT,IN1T, IN2T
1.406,-1.24198,-0.167938,1.406,-1.24198,-0.11704
1.401,-1.250546,-0.168197,1.401,-1.250546,-0.115232
1.396,-1.256256,-0.166647,1.396,-1.256256,-0.110839
1.392,-1.267676,-0.165096,1.392,-1.267676,-0.116265
1.387,-1.273387,-0.170264,1.387,-1.273387,-0.118332
1.382,-1.281952,-0.171039,1.382,-1.281952,-0.111873
1.377,-1.287662,-0.165355,1.377,-1.290517,-0.113165
1.372,-1.296228,-0.174139,1.372,-1.299083,-0.118074
1.367,-1.301938,-0.174398,1.367,-1.304793,-0.11394
1.362,-1.313358,-0.169489,1.362,-1.313358,-0.111873
1.357,-1.319069,-0.172072,1.357,-1.319069,-0.117298
1.353,-1.327634,-0.174656,1.353,-1.330489,-0.11859
1.348,-1.333344,-0.174398,1.348,-1.333344,-0.11239
1.343,-1.34191,-0.16923,1.343,-1.34191,-0.116523
1.338,-1.350475,-0.177498,1.338,-1.350475,-0.119882
1.333,-1.356185,-0.178015,1.333,-1.356185,-0.114456
1.328,-1.364751,-0.170264,1.328,-1.367606,-0.112648
1.323,-1.373316,-0.178273,1.323,-1.376171,-0.11859
1.318,-1.381881,-0.178273,1.318,-1.379026,-0.118074
1.313,-1.390447,-0.176464,1.313,-1.390447,-0.112131
1.309,-1.399012,-0.173881,1.309,-1.399012,-0.117298
1.304,-1.404722,-0.180082,1.304,-1.404722,-0.120399
1.299,-1.413288,-0.180082,1.299,-1.416143,-0.11394
1.294,-1.421853,-0.172847,1.294,-1.421853,-0.114456
1.289,-1.424708,-0.18189,1.289,-1.427563,-0.120399
1.284,-1.436129,-0.18189,1.284,-1.436129,-0.11704
1.279,-1.441839,-0.177756,1.279,-1.444694,-0.113681
1.274,-1.45326,-0.178273,1.274,-1.450404,-0.118849
1.27,-1.45897,-0.18189,1.27,-1.456115,-0.120657
1.265,-1.46468,-0.181632,1.265,-1.467535,-0.11394
1.26,-1.473245,-0.175689,1.26,-1.473245,-0.116523
1.255,-1.481811,-0.184732,1.255,-1.481811,-0.121174
1.25,0.502502,0.5126,1.25,0.502502,0.433798
1.245,0.493937,0.89369,1.245,0.496792,0.489088
1.24,0.488227,1.094183,1.24,0.488227,0.508724
1.235,0.482516,1.187195,1.235,0.476806,0.524743
1.23,0.471096,1.395439,1.23,0.471096,0.537661
1.226,0.465386,1.443236,1.226,0.465386,0.535336
1.221,0.45682,1.556401,1.221,0.45682,0.531719
1.216,0.45111,1.653288,1.216,0.448255,0.534044
1.211,0.442545,1.710129,1.211,0.442545,0.52991
1.206,0.431124,1.818902,1.206,0.431124,0.5157
1.201,0.425414,1.822519,1.201,0.425414,0.510791
1.196,0.416849,1.939042,1.196,0.416849,0.505107
1.191,0.411138,1.95196,1.191,0.411138,0.49038
1.187,0.402573,1.980122,1.187,0.402573,0.47617
1.182,0.394008,2.062283,1.182,0.396863,0.472036
1.177,0.385442,2.058149,1.177,0.385442,0.459893
1.172,0.379732,2.11654,1.172,0.379732,0.440257
1.167,0.371166,2.112923,1.167,0.368311,0.433539
1.162,0.365456,2.11654,1.162,0.362601,0.423721
1.157,0.354036,2.11654,1.157,0.354036,0.404086
1.152,0.348325,2.11654,1.152,0.348325,0.391426
1.147,0.342615,2.11654,1.147,0.33976,0.385741
1.143,0.33405,2.11654,1.143,0.331195,0.368173
1.138,0.325484,2.11654,1.138,0.325484,0.353187
1.133,0.316919,2.11654,1.133,0.316919,0.347245
1.128,0.308354,2.11654,1.128,0.308354,0.33536
1.123,0.299788,2.11654,1.123,0.299788,0.318049
1.118,0.294078,2.11654,1.118,0.294078,0.307973
1.113,0.282658,2.11654,1.113,0.285513,0.302289
1.108,0.276947,2.11654,1.108,0.276947,0.284978
1.104,0.265527,2.11654,1.104,0.268382,0.271285
1.099,0.262672,2.11654,1.099,0.262672,0.267151
1.094,0.254106,2.11654,1.094,0.251251,0.255266
1.089,0.245541,2.11654,1.089,0.245541,0.239506
1.084,0.236976,2.11654,1.084,0.236976,0.233563
1.079,0.231265,2.11654,1.079,0.231265,0.225296
1.074,0.219845,2.11654,1.074,0.2227,0.210827
1.069,0.214135,2.11654,1.069,0.214135,0.199976
1.064,0.205569,2.11654,1.064,0.205569,0.196875
1.06,0.199859,2.098971,1.06,0.199859,0.184991
1.055,0.191293,2.101296,1.055,0.191293,0.172072
1.05,0.185583,2.069,1.05,0.182728,0.168713
1.045,0.177018,2.058408,1.045,0.177018,0.162254
1.04,0.165597,2.047814,1.04,0.165597,0.148561
1.035,0.159887,1.997691,1.035,0.159887,0.14081
1.03,0.151322,2.019136,1.03,0.151322,0.139001
1.025,0.145611,1.974697,1.025,0.142756,0.126858
1.021,0.137046,1.959711,1.021,0.137046,0.11704
1.016,0.128481,1.942918,1.016,0.128481,0.116007
1.011,0.12277,1.912172,1.011,0.12277,0.109806
1.006,0.114205,1.907005,1.006,0.11135,0.097921
1.001,0.10564,1.856365,1.001,0.10564,0.094045
996.094,0.097074,1.867216,996.094,0.097074,0.091203
991.211,0.088509,1.830786,991.211,0.088509,0.080352
986.328,0.082799,1.791256,986.328,0.082799,0.072084
981.445,0.074233,1.796424,981.445,0.074233,0.073376
976.563,0.068523,1.755085,976.563,0.065668,0.065884
971.68,0.057103,1.743458,971.68,0.057103,0.054774
966.797,0.051392,1.705479,966.797,0.051392,0.055032
961.914,0.042827,1.699795,961.914,0.042827,0.052707
957.031,0.037117,1.674733,957.031,0.037117,0.041597
952.148,0.025696,1.62771,952.148,0.025696,0.036946
947.266,0.019986,1.636753,947.266,0.019986,0.038497
942.383,0.011421,1.595673,942.383,0.011421,0.029971
937.5,0.00571,1.573712,937.5,0.00571,0.02222
932.617,-0.002855,1.5502,932.617,-0.002855,0.024028
927.734,-0.008565,1.530564,927.734,-0.011421,0.021703
922.852,-0.019986,1.511445,922.852,-0.019986,0.01111
917.969,-0.025696,1.466748,917.969,-0.025696,0.010076
913.086,-0.034262,1.471915,913.086,-0.034262,0.011368
908.203,-0.042827,1.435485,908.203,-0.042827,0.001809
903.32,-0.048537,1.404223,903.32,-0.048537,-0.003876
898.438,-0.054247,1.39363,898.438,-0.057103,-0.000258
893.555,-0.065668,1.360559,893.555,-0.065668,-0.004909
888.672,-0.074233,1.347382,888.672,-0.074233,-0.013435
883.789,-0.079944,1.308627,883.789,-0.079944,-0.011627
878.906,-0.088509,1.306819,878.906,-0.091364,-0.011885
874.023,-0.097074,1.27659,874.023,-0.097074,-0.020669
869.141,-0.10564,1.239902,869.141,-0.10564,-0.024286
