TIME s, IN1D, IN2D,TIME sT, IN1T, IN2T
1.509,-1.079238,-0.103088,1.509,-1.076383,-0.106705
1.504,-1.084948,-0.110064,1.504,-1.082093,-0.09973
1.499,-1.093514,-0.110581,1.499,-1.090658,-0.102055
1.494,-1.099224,-0.105414,1.494,-1.099224,-0.107481
1.489,-1.107789,-0.106447,1.489,-1.107789,-0.103347
1.484,-1.113499,-0.111356,1.484,-1.113499,-0.098954
1.479,-1.122065,-0.107739,1.479,-1.12492,-0.105414
1.475,-1.13063,-0.105672,1.475,-1.13063,-0.107481
1.47,-1.139196,-0.111873,1.47,-1.139196,-0.100246
1.465,-1.144906,-0.111873,1.465,-1.144906,-0.103863
1.46,-1.156326,-0.106964,1.46,-1.153471,-0.108772
1.455,-1.164892,-0.110839,1.455,-1.162037,-0.10283
1.45,-1.170602,-0.112648,1.45,-1.170602,-0.100505
1.445,-1.179167,-0.108772,1.445,-1.179167,-0.107222
1.44,-1.184878,-0.106964,1.44,-1.184878,-0.106705
1.436,-1.196298,-0.113681,1.436,-1.193443,-0.101021
1.431,-1.202008,-0.111873,1.431,-1.202008,-0.105672
1.426,-1.210574,-0.106964,1.426,-1.210574,-0.110323
1.421,-1.216284,-0.112906,1.421,-1.216284,-0.103347
1.416,-1.224849,-0.11394,1.416,-1.224849,-0.103347
1.411,-1.23056,-0.109806,1.411,-1.23056,-0.109547
1.406,-1.24198,-0.109031,1.406,-1.24198,-0.10593
1.401,-1.24769,-0.11394,1.401,-1.24769,-0.10128
1.396,-1.256256,-0.111614,1.396,-1.256256,-0.107481
1.392,-1.264821,-0.107739,1.392,-1.264821,-0.109806
1.387,-1.270531,-0.114456,1.387,-1.270531,-0.10283
1.382,-1.279097,-0.114198,1.382,-1.279097,-0.10593
1.377,-1.287662,-0.108772,1.377,-1.287662,-0.111356
1.372,-1.293372,-0.111614,1.372,-1.293372,-0.10593
1.367,-1.301938,-0.11549,1.367,-1.301938,-0.10283
1.362,-1.310503,-0.111873,1.362,-1.310503,-0.108772
1.357,-1.316213,-0.109547,1.357,-1.316213,-0.109031
1.353,-1.327634,-0.116007,1.353,-1.324779,-0.103605
1.348,-1.333344,-0.115748,1.348,-1.333344,-0.107222
